,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/04/03 20:00:00+00,,34.600000,7.100000,42.500000,62.100000,29.100000,2.300000,1.100000,182.700000,116.500000,,0.200000,30.900000,42.400000,0.400000,1.500000,0.800000,27.900000,,0.600000,2.300000,0.400000,9.700000,0.800000,1,1.600000,,3.100000,0.300000,3,0,0,0.500000,1.600000,41.400000,0.600000,0.800000,2.400000,16.600000,0,2232
2019/04/03 21:00:00+00,,24.400000,4.200000,55.400000,116,31.200000,2.900000,0.600000,81.100000,92.400000,,0.300000,29.100000,30.500000,1.300000,2.300000,0.500000,9.100000,,1,2.300000,0.200000,3.800000,0.700000,0.600000,1.600000,,1.500000,0.200000,1.300000,0,0,0.500000,2.500000,48.100000,0.500000,1,0.900000,32.800000,0,2233
2019/04/03 22:00:00+00,,18.600000,1.400000,38.900000,101.600000,88.300000,4.300000,0.800000,172.100000,71.800000,,0.300000,39.500000,30.600000,5.800000,6,0.600000,13.200000,,0.600000,0.800000,1.600000,2,2,2.400000,1.200000,,1,0.400000,1.800000,0,3.100000,1.100000,2.100000,44.500000,0.500000,1.400000,0.400000,48.600000,0,2234
2019/04/03 23:00:00+00,,19.500000,2.600000,32.600000,72.600000,84.100000,0.300000,0.300000,172.300000,66.600000,,0.200000,43,17.500000,0.600000,1.200000,0.900000,9.400000,,0.700000,3,2.200000,3.500000,0.400000,1.200000,1,,0.800000,0.500000,1.800000,0,2.500000,1.200000,1.700000,31.300000,0.800000,0.700000,0.500000,36.500000,0,2235
2019/04/04 00:00:00+00,,14.700000,1.400000,13.800000,77.600000,67,1.800000,0.900000,81.800000,49.300000,,0.200000,23.300000,10.900000,0.800000,1.500000,0.800000,14.300000,,0.700000,4.400000,9.400000,2.900000,0.400000,1.600000,1.300000,,0.800000,0.400000,1.100000,0,0,1.100000,2.800000,22.600000,0.500000,0.700000,2,25.100000,0,2236
2019/04/04 01:00:00+00,,13.600000,1.600000,13.400000,86.400000,48.600000,1.500000,1.200000,84.400000,47.300000,,0.500000,9.300000,4.200000,0.300000,1.600000,0.700000,4.800000,,1,1.900000,3.200000,2.100000,0.700000,0.800000,2.400000,,1.100000,0.600000,1.200000,0,0,1.800000,2.200000,12.700000,0.600000,0.900000,0.500000,37.300000,0,2237
2019/04/04 02:00:00+00,,10.700000,1.400000,10,132.500000,50.900000,1.600000,1.200000,99.400000,38.700000,,0.700000,12.200000,13.200000,0.100000,0.800000,0.300000,5.600000,,1.200000,7.500000,0.300000,2.200000,0.700000,0.700000,2,,1,0.500000,1.400000,0,0,1.600000,4.400000,6.200000,0.500000,0.700000,0.500000,20.300000,0,2238
2019/04/04 03:00:00+00,,18.700000,3.200000,7.800000,202.600000,99.700000,9.800000,1.100000,88.200000,104.500000,,2.200000,3.600000,4,0.700000,0.400000,0.500000,3.200000,,2.300000,11,0.200000,2.700000,0.600000,1.200000,2,,1.700000,0.700000,1.200000,0,0,1.800000,6.800000,5.900000,0.400000,0.900000,0.600000,16.900000,0,2239
2019/04/04 04:00:00+00,,95.800000,5.400000,17.900000,331.300000,182.400000,19.200000,9.700000,151.300000,129.800000,,15.600000,6.200000,19.100000,3.500000,0.800000,0.700000,5.600000,,2.300000,33.700000,4.100000,7.700000,1,3,2.500000,,1.900000,0.700000,1.500000,0,0,4.500000,8.200000,10.400000,0.500000,4.400000,4,54.400000,0,2240
2019/04/04 05:00:00+00,,159.500000,29.300000,42.900000,433.200000,274.400000,32,40.600000,277.300000,296.800000,,8.600000,36.700000,33.500000,8.900000,3.600000,0.600000,27.800000,,4.500000,98,8.900000,26.100000,4.900000,2.800000,4.800000,,7.900000,2.900000,2.400000,0,0,21.600000,4,39.500000,1.300000,7.100000,14.700000,111.600000,0,2241
2019/04/04 06:00:00+00,,361.900000,102.200000,140.500000,494.600000,327.400000,47.200000,28.600000,298.400000,288.900000,,29.900000,123.500000,65.300000,24.900000,24.300000,1.100000,47.900000,,10,171.700000,31,39.600000,22.300000,8.900000,39.800000,,43.400000,25,5.700000,0.100000,0.100000,68.700000,30.500000,100.400000,6.900000,17.900000,39.200000,222,1.500000,2242
2019/04/04 07:00:00+00,,163.300000,164.500000,183,371.700000,135.300000,105.400000,48.500000,336.200000,203.600000,,51.500000,177.600000,134.900000,44.300000,47.800000,2.900000,83,,29.400000,206.600000,23.300000,73.800000,30.100000,22.700000,42.400000,,69.400000,68.400000,33.100000,3.300000,3.200000,81.400000,36.300000,134.200000,12.200000,38.300000,49.400000,207,17.400000,2243
2019/04/04 08:00:00+00,,166,114.100000,144.500000,217.300000,267.500000,26.100000,26.600000,190.100000,159.800000,,40.800000,181.100000,103.200000,36.100000,38,12.200000,91.500000,,19.200000,110.500000,14.400000,34.700000,11.500000,26.400000,28,,45.600000,58.900000,15.500000,1.600000,3.700000,43,28.200000,98.200000,6.400000,25.900000,61.700000,108.100000,12.900000,2244
2019/04/04 09:00:00+00,,75,46.900000,129.100000,125.500000,174.600000,9.400000,13.800000,120.800000,145.100000,,27.900000,65.300000,29.700000,18.100000,9.700000,4.900000,35.600000,,5.600000,16.800000,6.500000,8,5.900000,10.900000,6.900000,,17.500000,17.400000,7.800000,0.700000,1.500000,17.600000,14.500000,38.900000,3.400000,23.200000,11.600000,107.300000,4.600000,2245
2019/04/04 10:00:00+00,,77.300000,36.600000,118.200000,121.800000,109.300000,6.100000,7.400000,126.400000,106.300000,,8.100000,107.200000,23,6.300000,7.200000,2.900000,38.400000,,3.700000,,5,5.600000,,3.700000,4.800000,,6.400000,4.800000,6.100000,0.300000,0.500000,9.300000,10.400000,63.700000,2.300000,6,4.800000,59.300000,1.500000,2246
2019/04/04 11:00:00+00,,67.900000,12.200000,107,97.700000,47.700000,5.100000,5,100.500000,99,,3,101.800000,18.800000,3.700000,5.400000,2.200000,30.300000,,2.500000,,2.700000,3.600000,,2.400000,4.700000,,5,6.500000,4.100000,0,0.100000,5.100000,5.100000,61.300000,1.500000,2.800000,3.800000,30.200000,0.900000,2247
2019/04/04 12:00:00+00,,75,15.500000,82.400000,114.900000,45.600000,4.500000,4.900000,79.900000,117.700000,,2.400000,42.100000,18.300000,3.400000,5,1.400000,31.300000,,1.800000,,1.900000,4.300000,1.900000,2.400000,3.800000,,4.800000,4.500000,3.600000,0,0,3.400000,3.300000,49,1.300000,2.400000,2.700000,44.800000,0.700000,2248
2019/04/04 13:00:00+00,,66,10.600000,110.400000,102.700000,105,5.700000,4.400000,102.800000,105,,2.800000,55.500000,24.500000,3.100000,4.600000,1.600000,29.100000,,1.900000,2.700000,2.100000,3,2.600000,3.200000,4.100000,,4.600000,3.400000,3.400000,0,0,3.900000,2.900000,73,1,2.200000,2.100000,60.400000,0.800000,2249
2019/04/04 14:00:00+00,,87.900000,9.500000,115,113.400000,123.200000,4.300000,4.500000,71.300000,112.500000,,2.500000,32.500000,15.800000,3,5.200000,1.400000,32.700000,,1.700000,,1.300000,3,2.800000,2.500000,3.800000,,3.600000,3.200000,3.300000,0,0.100000,4.200000,2.900000,58.900000,1,2.500000,1.700000,67,0.200000,2250
2019/04/04 15:00:00+00,,71.900000,10.300000,107.900000,120.300000,76.300000,4.400000,3.800000,71.700000,97.400000,,2.200000,74.200000,26.900000,2.300000,6.600000,1.500000,39.600000,,1.700000,2.600000,1.400000,4.100000,3.200000,2.400000,3.500000,,3.100000,2.500000,3.500000,0,0,3.200000,2.800000,57.900000,1.200000,2.100000,1.800000,69.200000,0.300000,2251
2019/04/04 16:00:00+00,,123.300000,18.100000,97.300000,113.400000,116.700000,4.300000,3.500000,51.700000,103.400000,,1.900000,54.400000,23.500000,2.900000,8.300000,1.100000,23,,2.500000,1.900000,1.200000,6.600000,2.200000,1.700000,3.300000,,3.600000,2.400000,3.600000,0,0,3.300000,2.500000,47.700000,1.400000,3.300000,2.200000,55.600000,0.300000,2252
2019/04/04 17:00:00+00,,68.100000,9.200000,107.100000,145.400000,121.900000,4.200000,3.200000,50.900000,114.100000,,1.700000,49.800000,19.500000,1.800000,8.200000,0.800000,22.600000,2.600000,2.200000,1.500000,1.100000,4.300000,1.400000,1.600000,3.300000,,2.800000,2.600000,2.500000,0,0,2.400000,1.700000,49.100000,1.300000,1.400000,1.400000,83.900000,0.100000,2253
2019/04/04 18:00:00+00,,56.700000,8.600000,122.300000,108.400000,106.400000,3.200000,2.700000,118.300000,104.200000,,0.500000,49.300000,20.600000,1.200000,5.100000,1.100000,27.400000,3.700000,1.300000,0.800000,0,5.200000,1.800000,1.200000,2.600000,,2.100000,1.800000,2.600000,0,0,2.100000,1.500000,58.400000,0.800000,2,0.700000,67.900000,0,2254
2019/04/04 19:00:00+00,,75,9.600000,98.200000,109.900000,175.500000,2.200000,1.800000,147.600000,108.500000,,0.600000,41,41.800000,1.500000,4.400000,0.800000,40.900000,0.900000,0.900000,1,0,3.600000,0.600000,3.200000,2.500000,,1.100000,0.600000,2.100000,0,0,1.900000,1,59.200000,0.700000,2.900000,1.700000,55.400000,0,2255
2019/04/04 20:00:00+00,,87.700000,2.200000,80.600000,116,148.900000,1.800000,2.400000,50.500000,124.800000,,2.200000,78.800000,55.900000,0.500000,3.300000,0.900000,15.800000,0.100000,0.800000,2.800000,0,6.400000,0.400000,1.500000,1.700000,,1.300000,0.600000,2.700000,0,0,1.800000,1.400000,62.500000,0.600000,1.200000,1.200000,67,0,2256
2019/04/04 21:00:00+00,,64.900000,4.500000,73.400000,103.500000,133.100000,0.900000,2.500000,39.500000,123.900000,,0.700000,33.800000,39.800000,4.600000,3,0.200000,28.400000,0,0.400000,5.600000,0,2.700000,0.700000,2.700000,2,,1.400000,0.800000,2.600000,0,0,1.300000,1.900000,58.800000,0.600000,1.800000,1.400000,66.100000,0,2257
2019/04/04 22:00:00+00,,27.100000,1.400000,67.900000,71.200000,113.400000,0.400000,2.400000,36.500000,113.200000,,0.800000,49.300000,38.500000,0,3.300000,0.900000,20.900000,0.400000,0.600000,2.500000,0,1.200000,0.600000,4.600000,2.700000,,1.300000,0.500000,2.900000,0,0,1.200000,1.600000,53.700000,0.400000,1.900000,0.400000,61.200000,0,2258
2019/04/04 23:00:00+00,,16.700000,0,53.600000,42.900000,70.900000,0.500000,1.200000,30.400000,56,,0.600000,35.300000,20.700000,1.500000,2.600000,0.600000,7.900000,0.100000,1.600000,1.100000,0,1.600000,0.600000,5,2.600000,,1,0.500000,2.300000,0,0,0.400000,1.600000,37.400000,0.500000,0.900000,0.300000,32,0,2259
2019/04/05 00:00:00+00,,12.300000,0,26.500000,35.400000,45.300000,0.100000,0.900000,21.100000,28.500000,,0.100000,7,11.900000,1,0.700000,0.500000,6.800000,0.300000,1.500000,0.700000,0,1,0.600000,5.100000,1.900000,,0.800000,0.400000,1.600000,0,0,0,1.400000,21,0.700000,0.700000,0.500000,19.200000,0,2260
2019/04/05 01:00:00+00,,6.100000,0.400000,12.100000,35.800000,35.100000,0,0.700000,31.300000,37.800000,,0,10.400000,5,3.300000,1.100000,0.700000,7.900000,0.200000,1,0.900000,0,0.600000,0.900000,5.300000,1.300000,,0.800000,0.200000,2.200000,0,0,0,1.400000,17.200000,0.600000,0.800000,0.500000,19.600000,0,2261
2019/04/05 02:00:00+00,,10.300000,0,9.800000,53.600000,48.200000,0.400000,0.800000,30.400000,23.600000,,0.200000,11,6.800000,1.500000,0.800000,0.800000,4.600000,0.400000,0.800000,1.100000,0,0.400000,0.700000,4.800000,1.200000,,0.800000,0.300000,1.600000,0,0,0.700000,2,11.600000,0.500000,1.500000,0.400000,18.400000,0,2262
2019/04/05 03:00:00+00,,23.600000,0,10.700000,120.700000,71.100000,0.200000,0.800000,58,50.800000,,0.300000,6.400000,7.900000,0,0.500000,0.500000,1.700000,0,0.800000,1.200000,0,0.500000,0.300000,5.700000,1.200000,,0.900000,0.200000,2.300000,0,0,0.500000,1.700000,9,0.500000,1,0.400000,29.600000,0,2263
2019/04/05 04:00:00+00,,86.400000,1.200000,19.300000,203.300000,169.500000,0.400000,1.500000,73.600000,97.300000,,0.500000,3.700000,31.500000,0,1.200000,1,2.500000,0,2.800000,2.600000,0,0.900000,0.300000,5.500000,2.100000,,1.100000,0.300000,3.100000,0,0,1.100000,3.300000,20.300000,0.700000,1.300000,2.500000,60,1.900000,2264
2019/04/05 05:00:00+00,,147,11.900000,46.900000,297.800000,269.400000,16.900000,8.800000,101.200000,154.200000,,6.900000,15.500000,54.500000,2.900000,5.900000,0.900000,8.900000,0.400000,11.900000,3,0,1.300000,1.300000,6.400000,4.100000,,2.200000,1.900000,3.100000,0,0,28.200000,3.900000,42.100000,2.700000,3.900000,9.700000,112.500000,0.300000,2265
2019/04/05 06:00:00+00,,287.200000,23.500000,116.700000,312.400000,265.500000,43,34.500000,136.200000,230,,15.200000,69.100000,254,2.500000,26.600000,0.400000,23.100000,2.600000,75.400000,5.400000,0,6.100000,3.700000,9.500000,13.100000,,7.700000,8.400000,6.200000,0,0,54.600000,8,93.200000,4,11,13.800000,176.500000,2.800000,2266
2019/04/05 07:00:00+00,,228.300000,44.100000,140.600000,301.300000,272.100000,59.100000,38.800000,116.100000,226.200000,,20.600000,112.300000,190.800000,4.900000,37.600000,2.800000,45.800000,11,93.600000,11.900000,1.900000,25.700000,12.500000,9.900000,27.500000,,12,13,10.100000,0.200000,0.500000,58.800000,13.300000,100.600000,15.400000,18,10.300000,243,17,2267
2019/04/05 08:00:00+00,,150.400000,17,204.400000,121.200000,248.600000,67,24.400000,113.400000,173.600000,,29.400000,112.800000,119.600000,7,30.100000,6.600000,65.600000,15,70.600000,21.500000,3.800000,16.200000,5.500000,8.500000,28.400000,,12.800000,17.700000,13.100000,0.700000,1.300000,47.100000,13.500000,120.900000,12.500000,19.700000,12.700000,108.100000,15.300000,2268
2019/04/05 09:00:00+00,,109.200000,12.300000,165.100000,134.900000,194.100000,49.500000,10.700000,109.700000,116.700000,,16.600000,97.200000,87.200000,6,23.700000,9.500000,59.300000,8.800000,33.200000,20.900000,1.500000,14.100000,3.300000,7.400000,19.600000,,12.400000,13.900000,10,1,1.400000,30.100000,11.100000,111.700000,13.700000,12.600000,11.100000,118.400000,11.600000,2269
2019/04/05 10:00:00+00,,58.800000,3.700000,117.200000,78.400000,127.100000,7.700000,6.200000,104.200000,69.500000,,4.800000,34.900000,53.100000,2.800000,12.100000,4.800000,32,3.200000,12.500000,7.500000,1.800000,8.100000,1.800000,3.700000,13.200000,,4.700000,5.900000,6.500000,0.500000,0.400000,8.300000,4,50.700000,7.300000,3.100000,3.500000,81.300000,6,2270
2019/04/05 11:00:00+00,,60.100000,3.300000,95.500000,80.900000,123.700000,3.300000,4,74.300000,68,,3.400000,41.800000,49,1.200000,6.700000,3,26.500000,1.200000,7.700000,2.500000,1.900000,5,1,2,8.100000,,2.700000,3.300000,4.100000,0,0,3.700000,1.800000,67.900000,3.500000,1.700000,2.100000,42.300000,1.600000,2271
2019/04/05 12:00:00+00,,43.800000,1.800000,83.200000,80.700000,104,2.500000,4.100000,63.400000,63.200000,,2.300000,18.300000,38.100000,1,5.900000,2,17.600000,1.700000,4.800000,2,0.300000,3.900000,1.200000,2.100000,6.800000,,2.400000,2.500000,3.700000,0,0.100000,3.100000,2.300000,61.400000,2.300000,1.700000,1.600000,54.500000,1.500000,2272
2019/04/05 13:00:00+00,,50.200000,2.700000,86.400000,76.300000,117.500000,2,3.500000,77.800000,50.700000,,2,38.400000,29.400000,1.500000,4.800000,1.400000,,0.600000,5.200000,2,1.100000,4.500000,1.300000,2,5.300000,,2.200000,2.100000,4.300000,0,0,3.100000,2.100000,47,1.700000,2,1.400000,40.400000,1.100000,2273
2019/04/05 14:00:00+00,,63.200000,2.400000,104.800000,90.200000,129.200000,3,2.800000,59,70.300000,,1.900000,26,34.900000,1.200000,3.600000,1.500000,,0.800000,4.500000,1.700000,1.600000,2.800000,0.900000,3.300000,4.900000,,2.200000,1.700000,3.400000,0,0,2.200000,2,74.900000,1.700000,1.900000,1.400000,51.200000,1.100000,2274
2019/04/05 15:00:00+00,,88.600000,1.800000,72.200000,93.300000,99.700000,4.300000,1.800000,65.200000,64.700000,,1.500000,21,66.200000,2.700000,5.900000,1,,0.900000,4.900000,2.200000,0.200000,4.200000,0.700000,2.900000,4.500000,,1.500000,2,4,0,0,1.800000,1.400000,65.100000,2.200000,2,1.200000,38.400000,0.200000,2275
2019/04/05 16:00:00+00,,94.600000,2.500000,98.800000,75.100000,99.800000,2.900000,2.100000,64.500000,52.400000,,1.200000,22.200000,73.300000,0.700000,6.500000,1.300000,12.600000,0.500000,4.100000,1.500000,0,4.600000,0.500000,2.500000,4,,1.300000,1.100000,2.900000,0,0,1.600000,1.500000,52.800000,1.600000,2.600000,0.900000,70.500000,0.300000,2276
2019/04/05 17:00:00+00,,114.800000,2.600000,86.700000,68.200000,101.600000,1.200000,1.900000,57.100000,57.300000,,0.600000,52.400000,81.700000,0.100000,6.100000,1,5,0.200000,3.300000,1.400000,0,3.200000,0.600000,2.500000,3.400000,,2.200000,1.100000,2.900000,0,0,0.800000,3.100000,45.100000,1.800000,1.500000,0.700000,48.400000,0,2277
2019/04/05 18:00:00+00,,136.200000,1.100000,86.800000,78.900000,115.600000,1.300000,1.400000,109.400000,35.600000,,0.400000,21.300000,63.700000,0.100000,6.100000,0.800000,18.500000,0.400000,2.100000,2.900000,0,2.100000,0.300000,3,3.400000,,1.400000,1,2.200000,0,0,1,2.800000,56.400000,1.100000,2.100000,0.600000,62.100000,0,2278
2019/04/05 19:00:00+00,,118.800000,0.400000,77.700000,94.300000,125.800000,4.100000,1.100000,112.800000,40.500000,,0.500000,36.700000,53,0.400000,3.300000,1.200000,9.900000,0.200000,2.200000,2.300000,0,4.200000,0.400000,4.600000,2.300000,,0.900000,0.600000,2.900000,0,0,1.200000,3.100000,26.300000,2.100000,3,0.300000,37.700000,0,2279
2019/04/05 20:00:00+00,,61.100000,0.500000,56.100000,76.400000,110.600000,2.500000,1.200000,100.300000,61.200000,,0.500000,27.200000,37.900000,2.200000,3.200000,0.500000,2.800000,0,1.700000,1.600000,0,7,0.200000,4.900000,1.700000,,0.900000,0.400000,3.100000,0,0,1,3.900000,13.200000,0.900000,1.600000,0.400000,41.700000,0,2280
2019/04/05 21:00:00+00,,51.900000,0.200000,40.800000,66.600000,87.500000,0.400000,0.900000,90.900000,44.900000,,0.300000,17.700000,22.600000,0.800000,1.900000,0.400000,1.700000,0.200000,1.300000,2.100000,0,10.200000,0.300000,4.800000,1.300000,,1.200000,0.400000,2.300000,0,0,0.800000,2.700000,10.700000,0.500000,0.600000,0.200000,37.200000,0,2281
2019/04/05 22:00:00+00,,38.900000,0.300000,45.200000,47.300000,86.600000,0.400000,0.800000,78.700000,80.100000,,0.300000,19.300000,32.400000,0,2,0.600000,6.700000,0,1.100000,2.300000,0,5.700000,0.500000,3.700000,1.200000,,1,0.300000,3.100000,0,0,0.500000,4.700000,14.800000,0.600000,0.800000,0.400000,37.300000,0,2282
2019/04/05 23:00:00+00,,26.400000,0.300000,43,37.200000,71.400000,0.100000,0.700000,91,49.100000,,0.400000,39.500000,35.500000,0,1.400000,1.300000,2.500000,0.400000,1,0.700000,0,14.400000,0.600000,3.400000,1.200000,,0.800000,0.300000,2,0,0,1.200000,2.800000,12,0.500000,0.400000,0.300000,32.500000,0,2283
2019/04/06 00:00:00+00,,15.600000,0,36.500000,31,58,0.200000,0.600000,46.900000,36.500000,,0.200000,21.700000,15.500000,0.800000,1.200000,1,3.800000,0.600000,0.900000,1.600000,0,36.400000,0.500000,2.800000,1.200000,,1.200000,0.500000,1.800000,0,0,0.900000,2.400000,15.200000,0.800000,1,0.200000,17.100000,0,2284
2019/04/06 01:00:00+00,,10.300000,0,35,21.100000,59.300000,0.200000,0.300000,44.200000,43.800000,,0.400000,24.600000,19,0.400000,0.600000,0.900000,1.400000,0.200000,1.100000,2.100000,0,3,0.500000,3.100000,1.400000,,0.800000,0.400000,3.200000,0,0,1.200000,2.900000,14.800000,0.800000,0.800000,0.300000,30.600000,0,2285
2019/04/06 02:00:00+00,,14,0.300000,19.300000,23.500000,51,0.800000,0.600000,31.600000,39.900000,,0.500000,32.300000,9.200000,0,0.500000,0.900000,4.500000,0,1.700000,2.400000,0,2,1.200000,3.700000,1.300000,,1,0.400000,2.600000,0,0.100000,1.100000,2.100000,19.800000,0.700000,0.400000,0.100000,26.700000,0,2286
2019/04/06 03:00:00+00,,12.400000,0.100000,23.300000,72.900000,84.300000,0.300000,1.900000,32,45.300000,,1.500000,9.200000,16.700000,0.400000,1.300000,0.800000,4.700000,0.200000,1.200000,1.900000,0.100000,5.800000,0.500000,3.100000,2,,0.900000,0.300000,3.900000,0,0,1,1.600000,11.100000,0.800000,0.700000,0.100000,22.400000,0,2287
2019/04/06 04:00:00+00,,40.300000,0.600000,23.600000,66.200000,102.900000,0,1.700000,115.400000,52.900000,,1,34.700000,39.100000,0.500000,2.900000,0.800000,2.300000,0.700000,2.300000,1.500000,0,9.600000,1.200000,3.500000,6.100000,,1.100000,0.300000,5.800000,0.100000,0,1.200000,2,10.100000,0.800000,0.600000,1,43.700000,0,2288
2019/04/06 05:00:00+00,,32.300000,0.700000,26.100000,42,112.300000,0.200000,1.500000,137.600000,82.400000,,3.200000,20.700000,35.600000,0.700000,3.200000,0.600000,1.500000,0.100000,6,2.500000,0,1.500000,0.500000,2.500000,6.700000,,1.200000,0.500000,5.900000,0,0,2.400000,3.100000,24.100000,1.900000,0.900000,1,61.400000,0,2289
2019/04/06 06:00:00+00,,49.400000,2,46.700000,58,134.600000,1.400000,2.800000,188.900000,115.200000,,3.800000,68.100000,48.700000,2.600000,13.800000,1,3.700000,0.300000,6.300000,4,0.700000,1.100000,0.800000,5.300000,9.800000,,1.600000,0.800000,10.900000,1,0,5.600000,11.500000,30.700000,4.700000,1.500000,2.900000,71.300000,2.600000,2290
2019/04/06 07:00:00+00,,74.100000,4.200000,52.900000,73.300000,138.600000,2.300000,9.700000,203,110.300000,,7.300000,54.300000,56,4.100000,18.900000,1.300000,15.800000,1.200000,10.100000,22.400000,2.400000,3.300000,1.600000,7.600000,22.200000,,3.500000,2.600000,15.900000,0.300000,1.700000,10.300000,12.100000,34.300000,12.400000,3.800000,6.400000,70.200000,7.700000,2291
2019/04/06 08:00:00+00,,76,7.500000,67.300000,68.700000,115.700000,4.900000,7.600000,179.100000,73.700000,,6.900000,83.500000,73.100000,6.300000,22.300000,4.200000,14.300000,1.800000,13.800000,6.800000,4.500000,4.300000,1.700000,6.200000,17.600000,,5.400000,4.600000,15.900000,0.300000,4,11.900000,5.800000,44.700000,12.500000,5.100000,11.300000,53.600000,12.800000,2292
2019/04/06 09:00:00+00,,46.300000,4.700000,60.500000,70.200000,71.800000,4.600000,3.900000,175.600000,71.600000,,6,68.400000,53.300000,5.100000,14.800000,5.900000,9.300000,1.400000,8.200000,5.600000,2.100000,5.200000,1.900000,6,10.100000,,4.600000,4.400000,9.800000,0.700000,3,5.300000,4.400000,38.600000,9.600000,4.600000,7.800000,43.800000,6.200000,2293
2019/04/06 10:00:00+00,,56.800000,4.900000,71.400000,66.800000,87.800000,3.700000,2.700000,179.300000,46.900000,,3.400000,53.400000,47,2.500000,14.600000,2.800000,7.800000,1.400000,5.200000,4.600000,1.700000,5.700000,2.500000,6.600000,7.400000,,4.600000,3.200000,7,0.900000,1.400000,3.300000,4,36.500000,5.200000,3.800000,3.800000,45.200000,3.800000,2294
2019/04/06 11:00:00+00,,54.400000,5.600000,72.200000,46.800000,83.200000,3.600000,2.600000,185.800000,57.200000,,2.500000,62.300000,41.400000,2.600000,9.400000,3.800000,8.900000,2.200000,5.400000,3.500000,1.300000,3.700000,1.700000,,5.800000,,3.500000,3.100000,5.900000,0.700000,0.900000,2.600000,3.100000,26.300000,4.600000,3.900000,3,52.500000,3.100000,2295
2019/04/06 12:00:00+00,,45.900000,3.700000,55.900000,45.300000,76.800000,3.100000,2.400000,193,56.600000,,2.300000,66,38.700000,1.800000,7.700000,3,12.400000,1.300000,5.100000,3.100000,1,3.400000,1.700000,3,5.600000,,3.100000,3,5.600000,0.600000,0.600000,2.700000,2.400000,28.500000,3.900000,3,2.800000,51.600000,3.200000,2296
